middle3Letters,last4,first3Letters,last2Letters,first2Letters,last3Letters,percentHardMode,Date,ContestNumber,Word,ReportedResults,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7Tries,containsA,containsb,containsc,containsd,containse,containsf,containsg,containsh,containsi,containsj,containsk,containsl,containsm,containsn,containso,containsp,containsq,containsr,containss,containst,containsu,containsv,containsw,containsx,containsy,containsz,ProbabilityLetter1,ProbabilityLetter2,ProbabilityLetter3,ProbabilityLetter4,ProbabilityLetter5,Letter1Vowel,Letter2Vowel,Letter3Vowel,Letter4Vowel,Letter5Vowel,commonTri,CommonTrigrams
wee,weet,swe,et,sw,eet,0.047076,2022-03-08,262,sweet,207473,9767,1,5,18,31,28,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.049025,0.016713,0.102507,0.102507,0.072423,False,False,True,True,False,0,
hak,hake,sha,ke,sh,ake,0.037330,2022-02-17,243,shake,342003,12767,1,6,16,23,24,21,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.038997,0.088579,0.019499,0.102507,False,False,True,False,True,0,
uir,uirk,qui,rk,qu,irk,0.098651,2022-10-19,487,quirk,28322,2794,0,3,23,39,24,9,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.002786,0.035655,0.056267,0.074652,0.019499,False,True,True,False,False,0,
ing,inge,hin,ge,hi,nge,0.073851,2022-05-23,338,hinge,66431,4906,0,5,25,37,22,9,2,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.038997,0.056267,0.049025,0.028412,0.102507,False,True,False,False,True,0,
ske,skew,ask,ew,as,kew,0.071536,2022-04-25,310,askew,91548,6549,0,3,13,29,32,19,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.088579,0.049025,0.019499,0.102507,0.016713,True,False,False,True,False,0,
rea,ream,dre,am,dr,eam,0.092492,2022-11-05,504,dream,29743,2751,5,14,31,29,15,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.030084,0.074652,0.102507,0.088579,0.030641,False,False,True,True,False,0,
nou,nout,sno,ut,sn,out,0.061619,2022-04-01,286,snout,144648,8913,1,4,19,27,26,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0.049025,0.049025,0.074095,0.035655,0.072423,False,False,True,True,False,0,
lou,lout,flo,ut,fl,out,0.096597,2022-10-26,494,flout,30063,2904,0,6,28,37,21,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.018384,0.062396,0.074095,0.035655,0.072423,False,False,True,True,False,0,
ymp,ymph,nym,ph,ny,mph,0.060042,2022-03-27,281,nymph,165468,9935,1,2,18,44,26,26,9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.049025,0.033983,0.030641,0.035655,0.038997,False,True,False,False,False,0,
hor,horn,tho,rn,th,orn,0.038563,2022-02-22,248,thorn,306356,11814,1,14,38,30,12,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.038997,0.074095,0.074652,0.049025,False,False,True,False,False,0,
rea,reak,cre,ak,cr,eak,0.075853,2022-06-01,347,creak,63241,4797,0,5,21,32,25,14,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.039554,0.074652,0.102507,0.088579,0.019499,False,False,True,True,False,0,
cor,corn,sco,rn,sc,orn,0.091567,2022-09-30,468,scorn,31223,2859,0,8,31,35,20,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.039554,0.074095,0.074652,0.049025,False,False,True,False,False,0,
nea,neak,sne,ak,sn,eak,0.094463,2022-10-28,496,sneak,27905,2636,0,7,28,36,21,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.049025,0.102507,0.088579,0.019499,False,False,True,True,False,0,
avo,avoc,hav,oc,ha,voc,0.095945,2022-12-29,558,havoc,20001,1919,0,2,16,38,30,12,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.038997,0.088579,0.013928,0.074095,0.039554,False,True,False,True,False,0,
haw,hawl,sha,wl,sh,awl,0.061264,2022-04-04,289,shawl,129651,7943,0,3,16,31,30,16,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.049025,0.038997,0.088579,0.016713,0.062396,False,False,True,False,False,0,
ene,enew,ren,ew,re,new,0.054308,2022-03-20,274,renew,154987,8417,0,4,20,33,27,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.074652,0.102507,0.049025,0.102507,0.016713,False,True,False,True,False,0,
rov,rove,tro,ve,tr,ove,0.041109,2022-02-23,249,trove,277576,11411,1,5,16,24,25,22,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.072423,0.074652,0.074095,0.013928,0.102507,False,False,True,False,True,0,
tov,tove,sto,ve,st,ove,0.058923,2022-03-30,284,stove,158139,9318,0,5,16,24,27,21,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.049025,0.072423,0.074095,0.013928,0.102507,False,False,True,False,True,0,
rov,rove,gro,ve,gr,ove,0.097566,2022-10-21,489,grove,28637,2794,0,4,18,30,28,17,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.028412,0.074652,0.074095,0.013928,0.102507,False,False,True,False,True,0,
one,oney,mon,ey,mo,ney,0.072568,2022-05-22,337,money,67909,4928,1,7,26,36,21,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.030641,0.074095,0.049025,0.102507,0.033983,False,True,False,True,True,0,
ine,iney,pin,ey,pi,ney,0.133336,2022-11-01,500,piney,27502,3667,0,1,14,37,33,14,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.035655,0.056267,0.049025,0.102507,0.033983,False,True,False,True,True,0,
arc,arce,far,ce,fa,rce,0.071596,2022-05-11,326,farce,79446,5688,0,9,26,32,21,9,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.018384,0.088579,0.074652,0.039554,0.102507,False,True,False,False,True,0,
xio,xiom,axi,om,ax,iom,0.098073,2022-11-21,520,axiom,24288,2382,0,5,19,33,27,13,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.088579,0.003900,0.056267,0.074095,0.030641,True,False,True,True,False,0,
hak,haki,kha,ki,kh,aki,0.093770,2022-08-14,421,khaki,31652,2968,0,2,17,33,28,16,4,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019499,0.038997,0.088579,0.019499,0.056267,False,False,True,False,True,0,
hea,head,ahe,ad,ah,ead,0.046120,2022-03-04,258,ahead,203730,9396,1,5,20,35,26,12,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088579,0.038997,0.102507,0.088579,0.030084,True,False,True,True,False,0,
tea,tead,ste,ad,st,ead,0.083514,2022-07-09,385,stead,47094,3933,1,6,20,27,28,16,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.102507,0.088579,0.030084,False,False,True,True,False,0,
lot,loth,clo,th,cl,oth,0.045340,2022-03-06,260,cloth,218595,9911,1,8,33,34,17,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.039554,0.062396,0.074095,0.072423,0.038997,False,False,True,False,False,0,
ate,ater,cat,er,ca,ter,0.051566,2022-03-16,270,cater,217856,11234,1,7,19,22,19,18,15,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.039554,0.088579,0.072423,0.102507,0.074652,False,True,False,True,False,0,
rot,roth,fro,th,fr,oth,0.076069,2022-06-04,350,froth,58263,4432,0,5,22,35,25,11,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.018384,0.074652,0.074095,0.072423,0.038997,False,False,True,False,False,0,
nte,nter,int,er,in,ter,0.090230,2022-09-04,442,inter,32018,2889,0,6,25,36,23,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.056267,0.049025,0.072423,0.102507,0.074652,True,False,False,True,False,0,
lot,loth,slo,th,sl,oth,0.091846,2022-10-06,474,sloth,32522,2987,1,10,38,34,13,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.062396,0.074095,0.072423,0.038997,False,False,True,False,False,0,
han,hant,cha,nt,ch,ant,0.041683,2022-02-27,253,chant,250413,10438,1,9,33,33,16,7,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.039554,0.038997,0.088579,0.049025,0.072423,False,False,True,False,False,0,
lan,lant,pla,nt,pl,ant,0.064840,2022-04-22,307,plant,119232,7731,2,19,39,28,10,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.035655,0.062396,0.088579,0.049025,0.072423,False,False,True,False,False,0,
rim,rime,pri,me,pr,ime,0.092357,2022-11-22,521,prime,27437,2534,1,10,26,32,21,9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.074652,0.056267,0.030641,0.102507,False,False,True,False,True,0,
ewe,ewer,few,er,fe,wer,0.063686,2022-04-03,288,fewer,124532,7931,0,2,10,24,32,26,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.018384,0.102507,0.016713,0.102507,0.074652,False,True,False,True,False,0,
owe,ower,pow,er,po,wer,0.085424,2022-07-24,400,power,39813,3401,2,6,19,29,24,15,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.035655,0.074095,0.016713,0.102507,0.074652,False,True,False,True,False,0,
hal,hall,sha,ll,sh,all,0.056980,2022-03-29,283,shall,149070,8494,0,3,17,30,28,17,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.038997,0.088579,0.062396,0.062396,False,False,True,False,False,0,
elv,elve,del,ve,de,lve,0.075773,2022-05-16,331,delve,68349,5179,0,2,14,32,33,16,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.030084,0.102507,0.062396,0.013928,0.102507,False,True,False,False,True,0,
out,outh,you,th,yo,uth,0.086684,2022-08-03,410,youth,38381,3327,1,5,17,31,29,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0.033983,0.074095,0.035655,0.072423,0.038997,True,True,True,False,False,0,
qua,quad,squ,ad,sq,uad,0.065885,2022-04-11,296,squad,109828,7236,0,3,20,33,27,14,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.049025,0.002786,0.035655,0.088579,0.030084,False,False,True,True,False,0,
xid,xide,oxi,de,ox,ide,0.071053,2022-04-21,306,oxide,97955,6960,0,2,11,30,33,21,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.074095,0.003900,0.056267,0.030084,0.102507,True,False,True,False,True,0,
umm,ummy,mum,my,mu,mmy,0.103180,2022-10-23,491,mummy,29279,3021,0,1,4,14,27,37,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.030641,0.035655,0.030641,0.030641,0.033983,False,True,False,False,True,0,
rob,robe,pro,be,pr,obe,0.094517,2022-12-16,545,probe,22853,2160,0,6,24,32,24,11,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.074652,0.074095,0.017270,0.102507,False,False,True,False,True,0,
lde,lder,eld,er,el,der,0.046283,2022-02-07,233,elder,288228,13340,1,3,13,24,30,24,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.102507,0.062396,0.030084,0.102507,0.074652,True,False,False,True,False,0,
ude,uder,rud,er,ru,der,0.089114,2022-08-27,434,ruder,31241,2784,0,2,16,33,29,16,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.074652,0.035655,0.030084,0.102507,0.074652,False,True,False,True,False,0,
rop,rope,tro,pe,tr,ope,0.060066,2022-04-02,287,trope,155079,9315,1,16,33,28,15,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.072423,0.074652,0.074095,0.035655,0.102507,False,False,True,False,True,0,
how,howy,sho,wy,sh,owy,0.077842,2022-06-02,348,showy,61278,4770,0,2,16,37,30,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.049025,0.038997,0.074095,0.016713,0.033983,False,False,True,False,True,0,
lop,lope,elo,pe,el,ope,0.085118,2022-07-25,401,elope,39228,3339,0,4,22,32,26,13,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.102507,0.062396,0.074095,0.035655,0.102507,True,False,True,False,True,0,
pel,pell,spe,ll,sp,ell,0.093007,2022-11-08,507,spell,27213,2531,0,4,24,37,24,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.102507,0.062396,0.062396,False,False,True,False,False,0,
oom,oomy,roo,my,ro,omy,0.084604,2022-07-16,392,roomy,38769,3280,0,2,17,41,28,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0.074652,0.074095,0.074095,0.030641,0.033983,False,True,True,False,True,0,
ung,ungi,fun,gi,fu,ngi,0.091778,2022-09-01,439,fungi,31903,2928,0,2,18,41,28,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.018384,0.035655,0.049025,0.028412,0.056267,False,True,False,False,True,0,
jec,ject,eje,ct,ej,ect,0.097225,2022-12-01,530,eject,22628,2200,0,2,11,35,36,14,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.102507,0.002228,0.102507,0.039554,0.072423,True,False,True,False,False,0,
tch,tchy,itc,hy,it,chy,0.096252,2022-11-25,524,itchy,24197,2329,0,8,28,40,18,5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.056267,0.072423,0.039554,0.038997,0.033983,True,False,False,False,True,0,
awk,awky,gaw,ky,ga,wky,0.086691,2022-06-29,375,gawky,45645,3957,0,1,5,22,33,28,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.028412,0.088579,0.016713,0.019499,0.033983,False,True,False,False,True,0,
ove,oven,wov,en,wo,ven,0.087424,2022-08-23,430,woven,33549,2933,0,2,13,32,32,17,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.016713,0.074095,0.013928,0.102507,0.049025,False,True,False,True,False,0,
ast,aste,was,te,wa,ste,0.089452,2022-08-21,428,waste,35617,3186,1,7,19,27,24,17,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.016713,0.088579,0.049025,0.072423,0.102507,False,True,False,False,True,0,
oin,oint,poi,nt,po,int,0.025280,2022-01-19,214,point,280622,7094,1,16,37,28,12,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.035655,0.074095,0.056267,0.049025,0.072423,False,True,True,False,False,0,
ain,aint,sai,nt,sa,int,0.090524,2022-09-22,460,saint,34455,3119,1,14,35,29,15,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.088579,0.056267,0.049025,0.072423,False,True,True,False,False,0,
hir,hire,shi,re,sh,ire,0.025383,2022-01-17,212,shire,222197,5640,1,8,32,32,18,8,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.038997,0.056267,0.074652,0.102507,False,False,True,False,True,0,
eda,edal,med,al,me,dal,0.093794,2022-11-11,510,medal,25993,2438,0,5,25,38,23,8,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030641,0.102507,0.030084,0.088579,0.062396,False,True,False,True,False,0,
aps,apse,lap,se,la,pse,0.047682,2022-03-10,264,lapse,208884,9960,0,8,31,34,19,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.062396,0.088579,0.035655,0.049025,0.102507,False,True,False,False,True,0,
oul,ould,cou,ld,co,uld,0.037009,2022-01-29,224,could,313220,11592,1,7,29,35,20,8,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.039554,0.074095,0.035655,0.062396,0.030084,False,True,True,False,False,0,
aci,acit,tac,it,ta,cit,0.040592,2022-02-20,246,tacit,273306,11094,1,4,21,32,26,14,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.072423,0.088579,0.039554,0.056267,0.072423,False,True,False,True,False,0,
avo,avor,fav,or,fa,vor,0.022335,2022-01-12,207,favor,137586,3073,1,4,15,26,29,21,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.018384,0.088579,0.013928,0.074095,0.074652,False,True,False,True,False,0,
tai,tair,sta,ir,st,air,0.063609,2022-04-09,294,stair,134210,8537,2,21,36,26,11,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.049025,0.072423,0.088579,0.056267,0.074652,False,False,True,True,False,0,
lai,lair,fla,ir,fl,air,0.065321,2022-04-18,303,flair,112383,7341,1,8,30,36,18,6,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.018384,0.062396,0.088579,0.056267,0.074652,False,False,True,True,False,0,
lph,lpha,alp,ha,al,pha,0.091738,2022-09-13,451,alpha,29497,2706,0,3,19,40,28,9,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.088579,0.062396,0.035655,0.038997,0.088579,True,False,False,False,True,0,
njo,njoy,enj,oy,en,joy,0.098742,2022-10-10,478,enjoy,26878,2654,0,3,12,29,33,20,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.102507,0.049025,0.002228,0.074095,0.033983,True,False,False,True,True,0,
oug,ough,bou,gh,bo,ugh,0.095583,2022-10-04,472,bough,32014,3060,0,3,17,35,28,13,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.017270,0.074095,0.035655,0.028412,0.038997,False,True,True,False,False,0,
ull,ully,gul,ly,gu,lly,0.092238,2022-09-03,441,gully,31191,2877,0,1,9,27,31,25,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.028412,0.035655,0.062396,0.062396,0.033983,False,True,False,False,True,0,
hir,hird,thi,rd,th,ird,0.093674,2022-12-20,549,third,24137,2261,1,10,47,32,9,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.038997,0.056267,0.074652,0.030084,False,False,True,False,False,0,
sur,surp,usu,rp,us,urp,0.095902,2022-09-28,466,usurp,31355,3007,0,3,21,38,26,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0.035655,0.049025,0.035655,0.074652,0.035655,True,False,True,False,False,0,
hes,hest,che,st,ch,est,0.055115,2022-03-24,278,chest,169066,9318,1,14,35,31,14,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.039554,0.038997,0.102507,0.049025,0.072423,False,False,True,False,False,0,
uar,uart,qua,rt,qu,art,0.090093,2022-08-01,408,quart,36662,3303,0,5,20,33,27,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0.002786,0.035655,0.088579,0.074652,0.072423,False,True,True,False,False,0,
oub,oubt,dou,bt,do,ubt,0.090301,2022-09-15,453,doubt,33344,3011,1,12,32,34,16,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.030084,0.074095,0.035655,0.017270,0.072423,False,True,True,False,False,0,
rim,rimp,cri,mp,cr,imp,0.028267,2022-01-23,218,crimp,269929,7630,1,5,28,38,20,7,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.039554,0.074652,0.056267,0.030641,0.035655,False,False,True,False,False,0,
iva,ival,riv,al,ri,val,0.095915,2022-12-15,544,rival,22176,2127,0,7,27,35,22,8,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.074652,0.056267,0.013928,0.088579,0.062396,False,True,False,True,False,0,
ric,rick,pri,ck,pr,ick,0.027067,2022-01-21,216,prick,273727,7409,1,8,30,33,19,7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.074652,0.056267,0.039554,0.019499,False,False,True,False,False,0,
tic,tick,sti,ck,st,ick,0.091777,2022-09-18,456,stick,33102,3038,1,9,36,35,14,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.056267,0.039554,0.019499,False,False,True,False,False,0,
ltr,ltra,ult,ra,ul,tra,0.034496,2022-02-12,238,ultra,269885,9310,1,7,23,34,24,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.035655,0.062396,0.072423,0.074652,0.088579,True,False,False,False,True,0,
xtr,xtra,ext,ra,ex,tra,0.100424,2022-12-25,554,extra,15554,1562,1,5,20,35,28,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.102507,0.003900,0.072423,0.074652,0.088579,True,False,False,False,True,0,
lce,lcer,ulc,er,ul,cer,0.038128,2022-02-11,237,ulcer,278826,10631,1,4,18,30,28,16,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.035655,0.062396,0.039554,0.102507,0.074652,True,False,False,True,False,0,
ali,alid,val,id,va,lid,0.096308,2022-10-11,479,valid,28575,2752,0,4,28,38,21,8,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.013928,0.088579,0.062396,0.056267,0.030084,False,True,False,True,False,0,
oic,oice,voi,ce,vo,ice,0.081390,2022-07-08,384,voice,42806,3484,1,5,24,35,25,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.013928,0.074095,0.056267,0.039554,0.102507,False,True,True,False,True,0,
wic,wice,twi,ce,tw,ice,0.088594,2022-08-17,424,twice,35815,3173,1,6,28,38,21,6,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.072423,0.016713,0.056267,0.039554,0.102507,False,False,True,False,True,0,
ric,rice,tri,ce,tr,ice,0.097860,2022-09-19,457,trice,35050,3430,0,5,24,25,18,17,11,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.074652,0.056267,0.039554,0.102507,False,False,True,False,True,0,
mea,mear,sme,ar,sm,ear,0.088066,2022-08-07,414,smear,36223,3190,0,2,16,39,29,12,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.030641,0.102507,0.088579,0.074652,False,False,True,True,False,0,
oke,oker,pok,er,po,ker,0.089891,2022-08-15,422,poker,35376,3180,0,4,17,30,27,17,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.074095,0.019499,0.102507,0.074652,False,True,False,True,False,0,
hru,hrug,shr,ug,sh,rug,0.087943,2022-08-19,426,shrug,33965,2987,0,4,23,36,26,10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.049025,0.038997,0.074652,0.035655,0.028412,False,False,False,True,False,0,
ake,aker,bak,er,ba,ker,0.099351,2022-11-16,515,baker,25576,2541,0,5,16,23,24,22,10,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.017270,0.088579,0.019499,0.102507,0.074652,False,True,False,True,False,0,
eri,erit,mer,it,me,rit,0.087021,2022-08-22,429,merit,35888,3123,0,7,33,37,17,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.030641,0.102507,0.074652,0.056267,0.072423,False,True,False,True,False,0,
eca,ecap,rec,ap,re,cap,0.090693,2022-09-21,459,recap,31976,2900,0,5,30,35,21,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.074652,0.102507,0.039554,0.088579,0.035655,False,True,False,True,False,0,
ndu,ndue,und,ue,un,due,0.097561,2022-11-29,528,undue,23739,2316,0,3,19,35,29,13,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.035655,0.049025,0.030084,0.035655,0.102507,True,False,False,True,True,0,
ora,oray,for,ay,fo,ray,0.064325,2022-04-07,292,foray,117761,7575,0,2,14,31,31,19,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.018384,0.074095,0.074652,0.088579,0.033983,False,True,False,True,True,0,
